cmd;adc_a;adc_b;ts
1;16758655;8441909;0
1;16757875;8441470;10
1;16758864;8441856;21
1;16758025;8441940;31
1;16758846;8441622;41
1;16757821;8441573;52
1;16758376;8441880;62
1;16757890;8441782;72
1;16758399;8441827;83
1;16758037;8441723;93
1;16758563;8441544;103
1;16758064;8441723;113
1;16758450;8441263;124
1;16758155;8441450;134
1;16758153;8441624;144
1;16758151;8441654;155
1;16758167;8441572;165
1;16758132;8441882;175
1;16758049;8441785;186
1;16757879;8441926;196
1;16758052;8441578;206
1;16758026;8441835;216
1;16757917;8441230;227
1;16758127;8441906;237
1;16758210;8441510;248
1;16758055;8442063;258
1;16757926;8441561;268
1;16758145;8442373;278
1;16757831;8441441;289
1;16758392;8441941;299
1;16757945;8441450;310
1;16758576;8441854;320
1;16758119;8441399;330
1;16758771;8441648;341
1;16757976;8441522;351
1;16758674;8441863;361
1;16757844;8441829;371
1;16758526;8441771;382
1;16757876;8441505;392
1;16758451;8441576;402
1;16758030;8441440;413
1;16758232;8441168;423
;;;
1;16758018;8441275;433
1;16758199;8441821;444
1;16757984;8441606;454
1;16758142;8441929;464
1;16758221;8441773;474
1;16758318;8441953;485
1;16758210;8441519;495
1;16758343;8441346;505
1;16758123;8441534;516
1;16758438;8441372;526
1;16758168;8441954;536
1;16758420;8441674;547
1;16758196;8442439;557
1;16758410;8441434;567
1;16758367;8442159;578
1;16758242;8441393;588
1;16758150;8442022;598
1;16758025;8441419;609
1;16758336;8442737;619
1;16757793;8441392;629
1;16758548;8442269;639
1;16757760;8441367;650
1;16758702;8442161;660
1;16757589;8441594;671
1;16759128;8442001;681
1;16757367;8441521;691
1;16759074;8441845;702
1;16757358;8441373;712
1;16759145;8441638;722
1;16757654;8441150;733
1;16758972;8441563;743
1;16757694;8441296;753
1;16758811;8441888;764
1;16757733;8441339;774
1;16758317;8441576;784
1;16757874;8441146;794
1;16758382;8441513;805
1;16758095;8441634;815
1;16758432;8441593;825
1;16758012;8441791;836
1;16758259;8441754;846
1;16757743;8442228;856
1;16757971;8441404;867
1;16757698;8442230;877
1;16758002;8441117;887
1;16757994;8442661;897
1;16758207;8440849;908
;;;
1;16758016;8442795;918
1;16757834;8441151;928
1;16758057;8442680;939
1;16757661;8441090;949
1;16758485;8442366;959
1;16757411;8441398;970
1;16758719;8442359;980
1;16757509;8441418;990
1;16759295;8442054;1000
1;16757652;8441362;1011
1;16758814;8441659;1021
1;16757786;8441530;1031
1;16758298;8441724;1042
1;16757990;8442115;1052
1;16758408;8441925;1062
1;16757938;8441705;1073
1;16758336;8441939;1083
1;16758114;8441509;1093
1;16758218;8441544;1103
1;16758224;8441487;1114
1;16758145;8441543;1124
1;16757985;8441608;1135
1;16758293;8441778;1145
1;16758210;8441719;1155
1;16758256;8441797;1165
1;16757970;8441797;1176
1;16758172;8441687;1186
1;16757979;8441554;1196
1;16757883;8441624;1207
1;16758181;8441977;1217
1;16758276;8441829;1227
1;16758143;8441940;1238
1;16758247;8441636;1248
1;16758310;8442089;1258
1;16758043;8441466;1268
1;16758141;8441690;1279
1;16757923;8441537;1289
1;16758267;8441906;1299
1;16758085;8441600;1310
1;16758517;8442032;1320
1;16757902;8441787;1330
1;16758461;8441830;1341
1;16757916;8441777;1351
1;16758392;8441460;1361
1;16757452;8441617;1371
1;16758196;8441598;1382
1;16757730;8441767;1392
1;16758479;8441672;1403
1;16757968;8441693;1413
1;16758587;8441635;1423
1;16758016;8441627;1433
1;16758264;8441747;1444
1;16758042;8441592;1454
1;16758052;8441701;1464
1;16758233;8441696;1475
1;16758243;8441673;1485
1;16758074;8441556;1495
1;16758056;8441695;1506
1;16758098;8441687;1516
1;16758082;8441666;1526
1;16758062;8441918;1536
1;16757807;8441544;1547
1;16757944;8441774;1557
1;16758234;8441500;1567
1;16758164;8442016;1578
1;16758066;8441469;1588
1;16758179;8441888;1598
1;16758084;8441718;1609
1;16758124;8441916;1619
1;16757997;8441355;1629
1;16758147;8441845;1640
1;16757722;8441286;1650
1;16758447;8441751;1660
1;16757709;8441741;1671
1;16758367;8441843;1681
1;16757687;8441747;1691
1;16758515;8441650;1701
1;16757651;8441622;1712
1;16758361;8441633;1722
1;16757489;8441353;1732
1;16758370;8441595;1743
1;16757724;8441592;1753
1;16758136;8441895;1763
1;16757978;8441717;1774
1;16757901;8441841;1784
1;16757881;8441542;1794
1;16758103;8441506;1804
1;16758110;8441855;1815
1;16758082;8441552;1825
1;16758028;8441788;1835
1;16758243;8441766;1846
1;16757834;8441712;1856
1;16757782;8441478;1866
